"date","iPhone","Tesla","Rolex","country"
2017-11-14,57,4,3,"DE"
2017-11-14,41,2,1,"FR"
2017-11-14,76,1,2,"JP"
2017-11-14,69,0,0,"MX"
2017-11-14,63,4,2,"US"
2017-11-15,61,5,3,"DE"
2017-11-15,42,2,1,"FR"
2017-11-15,71,1,2,"JP"
2017-11-15,70,3,0,"MX"
2017-11-15,65,4,2,"US"
2017-11-16,62,6,3,"DE"
2017-11-16,42,2,1,"FR"
2017-11-16,70,1,2,"JP"
2017-11-16,66,0,0,"MX"
2017-11-16,67,6,2,"US"
2017-11-17,63,22,3,"DE"
2017-11-17,43,10,2,"FR"
2017-11-17,64,2,2,"JP"
2017-11-17,77,8,0,"MX"
2017-11-17,62,31,2,"US"
2017-11-18,73,11,3,"DE"
2017-11-18,53,5,2,"FR"
2017-11-18,77,2,2,"JP"
2017-11-18,91,4,0,"MX"
2017-11-18,73,19,2,"US"
2017-11-19,73,7,3,"DE"
2017-11-19,50,4,2,"FR"
2017-11-19,82,1,2,"JP"
2017-11-19,100,0,0,"MX"
2017-11-19,70,11,2,"US"
2017-11-20,60,7,2,"DE"
2017-11-20,42,4,1,"FR"
2017-11-20,68,1,2,"JP"
2017-11-20,92,7,0,"MX"
2017-11-20,65,11,2,"US"
2017-11-21,59,7,3,"DE"
2017-11-21,44,4,1,"FR"
2017-11-21,75,1,2,"JP"
2017-11-21,79,5,3,"MX"
2017-11-21,63,9,2,"US"
2017-11-22,61,7,3,"DE"
2017-11-22,44,3,1,"FR"
2017-11-22,66,1,2,"JP"
2017-11-22,64,5,0,"MX"
2017-11-22,70,7,2,"US"
2017-11-23,62,6,3,"DE"
2017-11-23,45,3,1,"FR"
2017-11-23,76,1,2,"JP"
2017-11-23,63,4,0,"MX"
2017-11-23,82,8,2,"US"
2017-11-24,73,5,3,"DE"
2017-11-24,54,3,2,"FR"
2017-11-24,66,1,2,"JP"
2017-11-24,59,5,0,"MX"
2017-11-24,94,7,3,"US"
2017-11-25,72,5,4,"DE"
2017-11-25,56,3,2,"FR"
2017-11-25,72,1,2,"JP"
2017-11-25,71,4,0,"MX"
2017-11-25,80,6,2,"US"
2017-11-26,72,5,3,"DE"
2017-11-26,51,2,2,"FR"
2017-11-26,75,1,2,"JP"
2017-11-26,82,6,0,"MX"
2017-11-26,77,6,2,"US"
2017-11-27,64,5,3,"DE"
2017-11-27,43,2,1,"FR"
2017-11-27,65,1,2,"JP"
2017-11-27,68,3,0,"MX"
2017-11-27,64,6,2,"US"
2017-11-28,58,4,3,"DE"
2017-11-28,41,2,1,"FR"
2017-11-28,62,1,2,"JP"
2017-11-28,64,4,0,"MX"
2017-11-28,62,6,2,"US"
2017-11-29,57,5,3,"DE"
2017-11-29,45,2,1,"FR"
2017-11-29,61,1,2,"JP"
2017-11-29,56,4,0,"MX"
2017-11-29,57,5,2,"US"
2017-11-30,59,5,3,"DE"
2017-11-30,41,2,1,"FR"
2017-11-30,63,1,2,"JP"
2017-11-30,63,4,0,"MX"
2017-11-30,59,6,2,"US"
2017-12-01,56,6,3,"DE"
2017-12-01,44,2,1,"FR"
2017-12-01,74,1,2,"JP"
2017-12-01,67,3,4,"MX"
2017-12-01,61,5,2,"US"
2017-12-02,80,5,3,"DE"
2017-12-02,61,2,2,"FR"
2017-12-02,100,1,2,"JP"
2017-12-02,76,0,5,"MX"
2017-12-02,79,6,2,"US"
2017-12-03,73,5,4,"DE"
2017-12-03,59,2,2,"FR"
2017-12-03,86,1,2,"JP"
2017-12-03,79,0,0,"MX"
2017-12-03,69,5,2,"US"
2017-12-04,58,6,3,"DE"
2017-12-04,48,2,2,"FR"
2017-12-04,68,1,2,"JP"
2017-12-04,72,4,0,"MX"
2017-12-04,60,5,2,"US"
2017-12-05,58,5,3,"DE"
2017-12-05,45,2,1,"FR"
2017-12-05,63,1,2,"JP"
2017-12-05,67,6,3,"MX"
2017-12-05,63,5,2,"US"
2017-12-06,60,5,3,"DE"
2017-12-06,43,1,1,"FR"
2017-12-06,62,1,2,"JP"
2017-12-06,58,4,0,"MX"
2017-12-06,58,5,2,"US"
2017-12-07,61,4,3,"DE"
2017-12-07,44,2,1,"FR"
2017-12-07,61,1,2,"JP"
2017-12-07,67,5,0,"MX"
2017-12-07,58,5,2,"US"
2017-12-08,61,4,3,"DE"
2017-12-08,47,2,2,"FR"
2017-12-08,60,1,2,"JP"
2017-12-08,63,4,0,"MX"
2017-12-08,58,5,2,"US"
2017-12-09,68,4,4,"DE"
2017-12-09,54,2,2,"FR"
2017-12-09,71,1,2,"JP"
2017-12-09,75,4,0,"MX"
2017-12-09,69,5,2,"US"
2017-12-10,67,4,4,"DE"
2017-12-10,58,2,2,"FR"
2017-12-10,74,1,2,"JP"
2017-12-10,85,0,0,"MX"
2017-12-10,69,5,2,"US"
2017-12-11,58,4,3,"DE"
2017-12-11,45,2,1,"FR"
2017-12-11,60,1,2,"JP"
2017-12-11,81,0,0,"MX"
2017-12-11,59,4,2,"US"
2017-12-12,56,4,3,"DE"
2017-12-12,44,2,1,"FR"
2017-12-12,58,1,2,"JP"
2017-12-12,70,4,3,"MX"
2017-12-12,57,5,2,"US"
2017-12-13,57,4,3,"DE"
2017-12-13,46,2,1,"FR"
2017-12-13,62,1,2,"JP"
2017-12-13,69,6,0,"MX"
2017-12-13,60,4,2,"US"
2017-12-14,57,4,3,"DE"
2017-12-14,45,2,1,"FR"
2017-12-14,60,1,2,"JP"
2017-12-14,64,5,3,"MX"
2017-12-14,54,4,2,"US"
2017-12-15,59,4,3,"DE"
2017-12-15,47,2,1,"FR"
2017-12-15,57,1,2,"JP"
2017-12-15,76,3,0,"MX"
2017-12-15,58,4,2,"US"
2017-12-16,65,4,4,"DE"
2017-12-16,55,2,2,"FR"
2017-12-16,68,1,2,"JP"
2017-12-16,84,4,0,"MX"
2017-12-16,67,5,2,"US"
2017-12-17,70,4,4,"DE"
2017-12-17,55,2,2,"FR"
2017-12-17,74,1,2,"JP"
2017-12-17,92,6,4,"MX"
2017-12-17,70,5,2,"US"
2017-12-18,57,5,3,"DE"
2017-12-18,46,1,1,"FR"
2017-12-18,60,1,2,"JP"
2017-12-18,87,4,0,"MX"
2017-12-18,59,4,2,"US"
2017-12-19,58,4,3,"DE"
2017-12-19,44,2,2,"FR"
2017-12-19,60,1,2,"JP"
2017-12-19,77,7,0,"MX"
2017-12-19,61,5,2,"US"
2017-12-20,58,4,3,"DE"
2017-12-20,45,2,1,"FR"
2017-12-20,59,1,2,"JP"
2017-12-20,83,0,0,"MX"
2017-12-20,59,5,2,"US"
2017-12-21,61,4,3,"DE"
2017-12-21,46,2,1,"FR"
2017-12-21,58,1,2,"JP"
2017-12-21,86,3,0,"MX"
2017-12-21,65,5,2,"US"
2017-12-22,61,5,4,"DE"
2017-12-22,48,2,2,"FR"
2017-12-22,59,1,2,"JP"
2017-12-22,89,0,0,"MX"
2017-12-22,66,5,3,"US"
2017-12-23,69,6,4,"DE"
2017-12-23,59,2,2,"FR"
2017-12-23,73,1,2,"JP"
2017-12-23,87,5,0,"MX"
2017-12-23,70,7,3,"US"
2017-12-24,90,5,6,"DE"
2017-12-24,66,3,2,"FR"
2017-12-24,69,1,3,"JP"
2017-12-24,100,0,0,"MX"
2017-12-24,72,5,3,"US"
2017-12-25,100,5,5,"DE"
2017-12-25,100,3,3,"FR"
2017-12-25,62,1,2,"JP"
2017-12-25,88,0,0,"MX"
2017-12-25,100,5,4,"US"
2017-12-26,83,5,5,"DE"
2017-12-26,70,2,2,"FR"
2017-12-26,61,1,2,"JP"
2017-12-26,92,0,0,"MX"
2017-12-26,87,5,3,"US"
2017-12-27,70,5,3,"DE"
2017-12-27,58,2,2,"FR"
2017-12-27,61,1,2,"JP"
2017-12-27,91,0,4,"MX"
2017-12-27,79,6,2,"US"
2017-12-28,68,4,3,"DE"
2017-12-28,57,3,2,"FR"
2017-12-28,61,1,2,"JP"
2017-12-28,94,4,0,"MX"
2017-12-28,71,5,2,"US"
2017-12-29,73,4,3,"DE"
2017-12-29,57,2,2,"FR"
2017-12-29,72,1,2,"JP"
2017-12-29,92,4,0,"MX"
2017-12-29,73,5,2,"US"
2017-12-30,68,4,3,"DE"
2017-12-30,53,2,1,"FR"
2017-12-30,73,1,2,"JP"
2017-12-30,100,0,0,"MX"
2017-12-30,71,5,2,"US"
2017-12-31,58,3,4,"DE"
2017-12-31,46,2,2,"FR"
2017-12-31,61,1,2,"JP"
2017-12-31,96,5,0,"MX"
2017-12-31,65,4,2,"US"
2018-01-01,67,4,3,"DE"
2018-01-01,54,3,2,"FR"
2018-01-01,64,1,2,"JP"
2018-01-01,78,0,0,"MX"
2018-01-01,64,4,2,"US"
2018-01-02,63,4,3,"DE"
2018-01-02,49,2,1,"FR"
2018-01-02,70,1,2,"JP"
2018-01-02,83,0,0,"MX"
2018-01-02,60,4,2,"US"
2018-01-03,57,4,3,"DE"
2018-01-03,45,2,1,"FR"
2018-01-03,71,1,2,"JP"
2018-01-03,86,5,4,"MX"
2018-01-03,57,5,2,"US"
2018-01-04,60,7,3,"DE"
2018-01-04,43,3,1,"FR"
2018-01-04,69,1,2,"JP"
2018-01-04,90,7,0,"MX"
2018-01-04,56,5,2,"US"
2018-01-05,56,4,3,"DE"
2018-01-05,43,2,1,"FR"
2018-01-05,65,1,2,"JP"
2018-01-05,84,6,0,"MX"
2018-01-05,57,5,2,"US"
2018-01-06,61,4,4,"DE"
2018-01-06,48,2,1,"FR"
2018-01-06,67,1,2,"JP"
2018-01-06,98,6,0,"MX"
2018-01-06,62,4,2,"US"
2018-01-07,61,4,3,"DE"
2018-01-07,42,2,1,"FR"
2018-01-07,68,1,3,"JP"
2018-01-07,95,7,0,"MX"
2018-01-07,60,5,2,"US"
2018-01-08,53,5,3,"DE"
2018-01-08,37,2,1,"FR"
2018-01-08,68,1,2,"JP"
2018-01-08,75,5,0,"MX"
2018-01-08,53,5,2,"US"
2018-01-09,53,5,3,"DE"
2018-01-09,37,2,1,"FR"
2018-01-09,59,2,2,"JP"
2018-01-09,68,3,0,"MX"
2018-01-09,50,4,2,"US"
2018-01-10,51,4,3,"DE"
2018-01-10,41,2,1,"FR"
2018-01-10,60,1,2,"JP"
2018-01-10,69,7,0,"MX"
2018-01-10,50,5,2,"US"
2018-01-11,54,4,3,"DE"
2018-01-11,37,2,1,"FR"
2018-01-11,57,1,2,"JP"
2018-01-11,64,4,4,"MX"
2018-01-11,49,5,2,"US"
2018-01-12,53,4,3,"DE"
2018-01-12,38,2,2,"FR"
2018-01-12,56,1,2,"JP"
2018-01-12,69,4,0,"MX"
2018-01-12,49,5,2,"US"
2018-01-13,60,4,3,"DE"
2018-01-13,44,2,2,"FR"
2018-01-13,64,1,2,"JP"
2018-01-13,82,4,0,"MX"
2018-01-13,58,5,2,"US"
2018-01-14,56,4,3,"DE"
2018-01-14,42,2,1,"FR"
2018-01-14,65,1,2,"JP"
2018-01-14,83,3,0,"MX"
2018-01-14,54,5,2,"US"
2018-01-15,50,3,3,"DE"
2018-01-15,34,1,1,"FR"
2018-01-15,58,1,2,"JP"
2018-01-15,66,3,4,"MX"
2018-01-15,52,6,2,"US"
2018-01-16,50,4,3,"DE"
2018-01-16,33,2,1,"FR"
2018-01-16,57,1,2,"JP"
2018-01-16,65,2,0,"MX"
2018-01-16,50,5,2,"US"
2018-01-17,51,4,3,"DE"
2018-01-17,36,2,1,"FR"
2018-01-17,58,1,3,"JP"
2018-01-17,58,0,0,"MX"
2018-01-17,46,5,2,"US"
2018-01-18,49,4,3,"DE"
2018-01-18,34,2,1,"FR"
2018-01-18,61,1,2,"JP"
2018-01-18,63,7,0,"MX"
2018-01-18,48,4,2,"US"
2018-01-19,49,4,3,"DE"
2018-01-19,35,2,1,"FR"
2018-01-19,54,1,2,"JP"
2018-01-19,71,3,0,"MX"
2018-01-19,47,4,2,"US"
2018-01-20,65,3,4,"DE"
2018-01-20,43,2,2,"FR"
2018-01-20,63,1,2,"JP"
2018-01-20,83,0,0,"MX"
2018-01-20,56,4,2,"US"
2018-01-21,57,3,3,"DE"
2018-01-21,41,2,2,"FR"
2018-01-21,64,1,2,"JP"
2018-01-21,89,5,4,"MX"
2018-01-21,53,5,2,"US"
2018-01-22,47,3,2,"DE"
2018-01-22,34,2,1,"FR"
2018-01-22,54,1,2,"JP"
2018-01-22,76,0,3,"MX"
2018-01-22,47,4,2,"US"
2018-01-23,49,4,3,"DE"
2018-01-23,35,2,1,"FR"
2018-01-23,53,1,2,"JP"
2018-01-23,63,3,0,"MX"
2018-01-23,47,6,2,"US"
2018-01-24,50,4,3,"DE"
2018-01-24,34,2,1,"FR"
2018-01-24,53,1,2,"JP"
2018-01-24,61,0,3,"MX"
2018-01-24,46,5,2,"US"
2018-01-25,47,4,3,"DE"
2018-01-25,33,2,1,"FR"
2018-01-25,54,1,2,"JP"
2018-01-25,61,3,0,"MX"
2018-01-25,44,5,2,"US"
2018-01-26,50,5,3,"DE"
2018-01-26,34,2,2,"FR"
2018-01-26,54,1,2,"JP"
2018-01-26,68,3,0,"MX"
2018-01-26,46,5,2,"US"
2018-01-27,57,4,4,"DE"
2018-01-27,42,2,2,"FR"
2018-01-27,62,1,2,"JP"
2018-01-27,69,5,3,"MX"
2018-01-27,56,5,4,"US"
2018-01-28,53,4,4,"DE"
2018-01-28,39,3,2,"FR"
2018-01-28,67,1,2,"JP"
2018-01-28,78,0,0,"MX"
2018-01-28,53,5,5,"US"
2018-01-29,45,4,3,"DE"
2018-01-29,33,2,1,"FR"
2018-01-29,58,1,2,"JP"
2018-01-29,69,2,0,"MX"
2018-01-29,48,5,2,"US"
2018-01-30,48,4,3,"DE"
2018-01-30,32,2,1,"FR"
2018-01-30,54,1,2,"JP"
2018-01-30,57,3,0,"MX"
2018-01-30,46,5,2,"US"
2018-01-31,46,4,3,"DE"
2018-01-31,33,2,1,"FR"
2018-01-31,58,1,2,"JP"
2018-01-31,58,0,2,"MX"
2018-01-31,44,5,2,"US"
2018-02-01,47,4,3,"DE"
2018-02-01,31,2,1,"FR"
2018-02-01,54,1,2,"JP"
2018-02-01,60,3,0,"MX"
2018-02-01,44,5,2,"US"
2018-02-02,46,4,3,"DE"
2018-02-02,32,2,1,"FR"
2018-02-02,52,1,2,"JP"
2018-02-02,58,0,0,"MX"
2018-02-02,44,5,2,"US"
2018-02-03,53,4,3,"DE"
2018-02-03,41,2,1,"FR"
2018-02-03,62,1,2,"JP"
2018-02-03,72,0,0,"MX"
2018-02-03,52,4,2,"US"
2018-02-04,52,3,3,"DE"
2018-02-04,41,2,1,"FR"
2018-02-04,64,1,2,"JP"
2018-02-04,80,3,0,"MX"
2018-02-04,50,5,2,"US"
2018-02-05,49,4,3,"DE"
2018-02-05,31,2,1,"FR"
2018-02-05,56,1,2,"JP"
2018-02-05,67,0,3,"MX"
2018-02-05,42,4,1,"US"
2018-02-06,45,8,3,"DE"
2018-02-06,30,4,1,"FR"
2018-02-06,55,1,2,"JP"
2018-02-06,62,5,2,"MX"
2018-02-06,43,10,1,"US"
2018-02-07,46,13,3,"DE"
2018-02-07,33,7,1,"FR"
2018-02-07,56,2,2,"JP"
2018-02-07,57,9,0,"MX"
2018-02-07,46,18,2,"US"
2018-02-08,45,11,3,"DE"
2018-02-08,32,5,1,"FR"
2018-02-08,49,2,2,"JP"
2018-02-08,57,6,0,"MX"
2018-02-08,46,14,2,"US"
2018-02-09,44,8,3,"DE"
2018-02-09,31,3,1,"FR"
2018-02-09,50,1,2,"JP"
2018-02-09,56,5,2,"MX"
2018-02-09,45,10,2,"US"
2018-02-10,51,6,3,"DE"
2018-02-10,38,4,1,"FR"
2018-02-10,60,1,2,"JP"
2018-02-10,67,4,5,"MX"
2018-02-10,53,9,2,"US"
2018-02-11,52,5,3,"DE"
2018-02-11,39,3,2,"FR"
2018-02-11,71,1,2,"JP"
2018-02-11,68,4,0,"MX"
2018-02-11,51,8,2,"US"
2018-02-12,45,5,2,"DE"
2018-02-12,31,2,1,"FR"
2018-02-12,67,1,2,"JP"
2018-02-12,58,6,0,"MX"
2018-02-12,45,7,1,"US"
2018-02-13,45,5,2,"DE"
2018-02-13,31,2,1,"FR"
2018-02-13,56,1,2,"JP"
2018-02-13,61,5,0,"MX"
2018-02-13,43,6,1,"US"
2018-02-14,43,5,2,"DE"
2018-02-14,33,2,1,"FR"
2018-02-14,52,1,2,"JP"
2018-02-14,49,5,0,"MX"
2018-02-14,41,6,2,"US"
2018-02-15,43,4,3,"DE"
2018-02-15,30,2,1,"FR"
2018-02-15,53,1,2,"JP"
2018-02-15,51,4,0,"MX"
2018-02-15,44,5,1,"US"
2018-02-16,45,4,3,"DE"
2018-02-16,30,2,1,"FR"
2018-02-16,54,1,2,"JP"
2018-02-16,57,5,0,"MX"
2018-02-16,42,5,2,"US"
2018-02-17,60,4,3,"DE"
2018-02-17,39,3,2,"FR"
2018-02-17,60,1,2,"JP"
2018-02-17,73,4,3,"MX"
2018-02-17,57,5,2,"US"
2018-02-18,55,4,3,"DE"
2018-02-18,38,2,1,"FR"
2018-02-18,64,1,2,"JP"
2018-02-18,72,4,0,"MX"
2018-02-18,51,5,2,"US"
2018-02-19,43,4,2,"DE"
2018-02-19,32,2,1,"FR"
2018-02-19,55,1,2,"JP"
2018-02-19,59,4,0,"MX"
2018-02-19,49,5,2,"US"
2018-02-20,45,4,2,"DE"
2018-02-20,31,2,1,"FR"
2018-02-20,53,1,2,"JP"
2018-02-20,61,3,0,"MX"
2018-02-20,45,5,1,"US"
2018-02-21,44,4,3,"DE"
2018-02-21,32,2,1,"FR"
2018-02-21,54,1,2,"JP"
2018-02-21,62,4,0,"MX"
2018-02-21,47,5,1,"US"
2018-02-22,45,4,3,"DE"
2018-02-22,31,2,1,"FR"
2018-02-22,53,1,2,"JP"
2018-02-22,63,4,0,"MX"
2018-02-22,47,5,1,"US"
2018-02-23,44,4,3,"DE"
2018-02-23,32,2,1,"FR"
2018-02-23,51,1,2,"JP"
2018-02-23,64,4,0,"MX"
2018-02-23,47,5,2,"US"
2018-02-24,55,4,3,"DE"
2018-02-24,38,2,2,"FR"
2018-02-24,62,1,2,"JP"
2018-02-24,77,4,0,"MX"
2018-02-24,55,5,2,"US"
2018-02-25,55,4,3,"DE"
2018-02-25,36,2,1,"FR"
2018-02-25,67,1,2,"JP"
2018-02-25,67,6,0,"MX"
2018-02-25,54,5,2,"US"
2018-02-26,47,4,3,"DE"
2018-02-26,33,2,1,"FR"
2018-02-26,55,1,2,"JP"
2018-02-26,69,5,0,"MX"
2018-02-26,49,5,1,"US"
2018-02-27,48,4,2,"DE"
2018-02-27,32,2,1,"FR"
2018-02-27,56,1,2,"JP"
2018-02-27,62,6,0,"MX"
2018-02-27,47,4,1,"US"
2018-02-28,49,4,3,"DE"
